"","Country","Year","Approve","Disapprove"
"189","Estonia","2009",0.18,0.29
"190","Eswatini","2011",0.66,0.24
"191","Ethiopia","2014",0.18,0.04
"192","Ethiopia","2013",0.49,0.09
"193","Ethiopia","2012",0.49,0.08
"194","Gabon","2014",0.66,0.25
"195","Gabon","2013",0.78,0.18
"196","Gabon","2012",0.64,0.18
"197","Gabon","2011",0.77,0.21
"198","Georgia","2014",0.2,0.2
"199","Georgia","2013",0.18,0.19
"200","Georgia","2012",0.22,0.17
"201","Georgia","2011",0.22,0.22
"202","Georgia","2010",0.16,0.18
"203","Georgia","2009",0.13,0.2
"204","Ghana","2014",0.46,0.07
"205","Ghana","2013",0.48,0.2
"206","Ghana","2012",0.72,0.14
"207","Ghana","2011",0.87,0.1
"208","Ghana","2010",0.66,0.23
"209","Ghana","2009",0.5,0.13
"210","Guatemala","2014",0.23,0.21
"211","Guatemala","2013",0.19,0.17
"212","Guatemala","2012",0.18,0.1
"213","Guatemala","2011",0.21,0.12
"214","Guatemala","2010",0.23,0.17
"215","Guatemala","2009",0.26,0.18
"216","Guinea","2014",0.72,0.12
"217","Guinea","2013",0.82,0.13
"218","Guinea","2012",0.81,0.15
"219","Guinea","2011",0.78,0.1
"220","Haiti","2014",0.37,0.4
"221","Haiti","2013",0.44,0.35
"222","Haiti","2012",0.48,0.35
"223","Haiti","2011",0.4,0.3
"224","Haiti","2010",0.4,0.33
"225","Honduras","2014",0.28,0.18
"226","Honduras","2013",0.23,0.19
"227","Honduras","2012",0.22,0.14
"228","Honduras","2011",0.24,0.21
"229","Honduras","2010",0.25,0.23
"230","Honduras","2009",0.29,0.27
"231","Hungary","2014",0.38,0.25
"232","Hungary","2013",0.38,0.15
"233","Hungary","2012",0.42,0.14
"234","Hungary","2011",0.4,0.25
"235","Hungary","2010",0.37,0.21
"236","India","2014",0.14,0.13
"237","India","2013",0.17,0.17
"238","India","2012",0.13,0.26
"239","India","2011",0.1,0.2
"240","India","2010",0.08,0.14
"241","India","2009",0.14,0.2
"242","Indonesia","2014",0.21,0.27
"243","Indonesia","2013",0.23,0.29
"244","Indonesia","2012",0.18,0.23
"245","Indonesia","2011",0.24,0.33
"246","Indonesia","2010",0.28,0.08
"247","Indonesia","2009",0.31,0.17
"248","Iran","2014",0.32,0.33
"249","Iran","2013",0.26,0.4
"250","Iran","2012",0.23,0.42
"251","Iran","2011",0.18,0.46
"252","Iraq","2014",0.37,0.43
"253","Iraq","2013",0.34,0.5
"254","Iraq","2012",0.4,0.29
"255","Iraq","2011",0.44,0.32
"256","Iraq","2010",0.47,0.26
"257","Iraq","2009",0.4,0.21
"258","Israel","2014",0.24,0.63
"259","Israel","2013",0.19,0.63
"260","Israel","2012",0.24,0.58
"261","Israel","2011",0.23,0.61
"262","Israel","2010",0.25,0.51
"263","Israel","2009",0.27,0.53
"264","Jamaica","2014",0.28,0.16
"265","Jamaica","2013",0.28,0.14
"266","Jamaica","2011",0.11,0.1
"267","Kazakhstan","2014",0.39,0.2
"268","Kazakhstan","2013",0.39,0.19
"269","Kazakhstan","2012",0.34,0.15
"270","Kazakhstan","2011",0.48,0.11
"271","Kazakhstan","2010",0.4,0.12
"272","Kazakhstan","2009",0.39,0.13
"273","Kenya","2014",0.61,0.22
"274","Kenya","2013",0.6,0.25
"275","Kenya","2012",0.62,0.19
"276","Kenya","2011",0.83,0.16
"277","Kenya","2010",0.59,0.41
"278","Kenya","2009",0.56,0.32
"279","Kosovo","2014",0.11,0.65
"280","Kosovo","2013",0.16,0.75
"281","Kosovo","2012",0.07,0.86
"282","Kosovo","2011",0.22,0.71
"283","Kosovo","2010",0.07,0.8
"284","Kosovo","2009",0.14,0.75
"285","Kuwait","2009",0.54,0.31
"286","Kyrgyzstan","2014",0.41,0.32
"287","Kyrgyzstan","2013",0.4,0.32
"288","Kyrgyzstan","2012",0.41,0.33
"289","Kyrgyzstan","2011",0.33,0.32
"290","Kyrgyzstan","2010",0.29,0.27
"291","Kyrgyzstan","2009",0.38,0.29
"292","Laos","2011",0.34,0.04
"293","Latvia","2014",0.22,0.32
"294","Latvia","2013",0.25,0.38
"295","Latvia","2012",0.18,0.27
"296","Latvia","2011",0.22,0.22
"297","Latvia","2009",0.18,0.2
"298","Lebanon","2014",0.24,0.6
"299","Lebanon","2013",0.28,0.6
"300","Lebanon","2012",0.26,0.55
"301","Lebanon","2011",0.29,0.57
"302","Lebanon","2010",0.4,0.35
"303","Lebanon","2009",0.34,0.33
"304","Lesotho","2011",0.53,0.44
"305","Liberia","2014",0.39,0.14
"306","Liberia","2013",0.3,0.12
"307","Liberia","2011",0.81,0.18
"308","Liberia","2010",0.77,0.21
"309","Libya","2012",0.22,0.57
"310","Lithuania","2014",0.21,0.37
"311","Lithuania","2013",0.19,0.38
"312","Lithuania","2012",0.18,0.32
"313","Lithuania","2011",0.19,0.32
"314","Lithuania","2010",0.14,0.23
"315","Lithuania","2009",0.12,0.28
"316","Madagascar","2014",0.39,0.31
"317","Madagascar","2013",0.26,0.22
"318","Madagascar","2012",0.52,0.31
"319","Madagascar","2011",0.73,0.19
"320","Malawi","2014",0.56,0.36
"321","Malawi","2013",0.65,0.26
"322","Malawi","2012",0.58,0.26
"323","Malawi","2011",0.55,0.44
"324","Malawi","2009",0.53,0.47
"325","Malaysia","2014",0.43,0.22
"326","Malaysia","2012",0.44,0.14
"327","Malaysia","2011",0.42,0.22
"328","Malaysia","2010",0.47,0.2
"329","Malaysia","2009",0.4,0.22
"330","Mali","2014",0.86,0.1
"331","Mali","2013",0.88,0.11
"332","Mali","2012",0.93,0.05
"333","Mali","2011",0.94,0.03
"334","Mali","2010",0.92,0.06
"335","Mali","2009",0.84,0.12
"336","Malta","2014",0.34,0.46
"337","Mauritania","2014",0.5,0.37
"338","Mauritania","2013",0.55,0.37
"339","Mauritania","2012",0.47,0.44
"340","Mauritania","2011",0.58,0.34
"341","Mauritania","2010",0.59,0.37
"342","Mauritania","2009",0.54,0.39
"343","Mauritius","2014",0.38,0.16
"344","Mauritius","2011",0.66,0.22
"345","Mexico","2014",0.34,0.29
"346","Mexico","2013",0.3,0.23
"347","Mexico","2012",0.21,0.23
"348","Mexico","2011",0.19,0.23
"349","Mexico","2010",0.31,0.17
"350","Moldova","2014",0.26,0.23
"351","Moldova","2013",0.24,0.21
"352","Moldova","2012",0.23,0.18
"353","Moldova","2011",0.21,0.16
"354","Moldova","2010",0.19,0.14
"355","Moldova","2009",0.23,0.15
"356","Mongolia","2014",0.31,0.19
"357","Mongolia","2013",0.33,0.24
"358","Mongolia","2012",0.31,0.16
"359","Mongolia","2011",0.39,0.14
"360","Mongolia","2010",0.46,0.18
"361","Montenegro","2014",0.4,0.27
"362","Montenegro","2013",0.41,0.32
"363","Montenegro","2012",0.42,0.26
"364","Montenegro","2011",0.39,0.23
"365","Montenegro","2010",0.43,0.24
"366","Montenegro","2009",0.46,0.17
"367","Morocco","2014",0.25,0.17
"368","Morocco","2013",0.13,0.17
"369","Morocco","2012",0.28,0.21
"370","Morocco","2011",0.4,0.35
"371","Morocco","2010",0.31,0.32
"372","Mozambique","2011",0.73,0.26
"373","Myanmar","2014",0.22,0.09
"374","Myanmar","2013",0.24,0.18
"375","Myanmar","2012",0.19,0.11
"376","Namibia","2014",0.44,0.21
"377","Nepal","2014",0.39,0.12
"378","Nepal","2013",0.42,0.09
"379","Nepal","2012",0.29,0.11
"380","Nepal","2011",0.3,0.13
"381","Nepal","2010",0.37,0.15
"382","Nicaragua","2014",0.3,0.2
"383","Nicaragua","2013",0.26,0.21
"384","Nicaragua","2012",0.2,0.2
"385","Nicaragua","2011",0.28,0.11
"386","Nicaragua","2010",0.35,0.11
"387","Nicaragua","2009",0.36,0.14
"388","Niger","2014",0.76,0.12
"389","Niger","2013",0.85,0.12
"390","Niger","2012",0.8,0.11
"391","Niger","2011",0.83,0.14
"392","Niger","2010",0.81,0.18
"393","Niger","2009",0.86,0.13
"394","Nigeria","2014",0.51,0.14
"395","Nigeria","2013",0.51,0.11
"396","Nigeria","2012",0.56,0.17
"397","Nigeria","2011",0.66,0.14
"398","Nigeria","2010",0.64,0.17
"399","Nigeria","2009",0.44,0.12
"400","North Macedonia","2014",0.39,0.22
"401","North Macedonia","2013",0.3,0.27
"402","North Macedonia","2012",0.31,0.23
"403","North Macedonia","2011",0.43,0.17
"404","North Macedonia","2010",0.42,0.27
"405","North Macedonia","2009",0.53,0.21
"406","Pakistan","2014",0.68,0.21
"407","Pakistan","2013",0.7,0.23
"408","Pakistan","2012",0.64,0.21
"409","Pakistan","2011",0.64,0.14
"410","Pakistan","2010",0.58,0.26
"411","Pakistan","2009",0.55,0.19
"412","Panama","2014",0.24,0.35
"413","Panama","2013",0.24,0.25
"414","Panama","2012",0.19,0.2
"415","Panama","2011",0.21,0.26
"416","Panama","2010",0.23,0.18
"417","Panama","2009",0.22,0.14
"418","Paraguay","2014",0.31,0.28
"419","Paraguay","2013",0.23,0.29
"420","Paraguay","2012",0.25,0.31
"421","Paraguay","2011",0.16,0.21
"422","Peru","2014",0.26,0.26
"423","Peru","2013",0.2,0.3
"424","Peru","2012",0.25,0.21
"425","Peru","2011",0.23,0.17
"426","Peru","2010",0.3,0.16
"427","Peru","2009",0.26,0.15
"428","Philippines","2014",0.23,0.64
"429","Philippines","2013",0.21,0.56
"430","Philippines","2012",0.31,0.49
"431","Philippines","2011",0.36,0.4
"432","Philippines","2010",0.43,0.32
"433","Philippines","2009",0.34,0.34
"434","Poland","2014",0.13,0.59
"435","Poland","2013",0.15,0.47
"436","Poland","2012",0.1,0.53
"437","Poland","2011",0.17,0.46
"438","Poland","2010",0.11,0.51
"439","Poland","2009",0.12,0.39
"440","Romania","2014",0.34,0.2
"441","Romania","2013",0.38,0.2
"442","Romania","2012",0.28,0.18
"443","Romania","2011",0.36,0.18
"444","Romania","2010",0.29,0.18
"445","Romania","2009",0.19,0.23
"446","Russia","2014",0.42,0.28
"447","Russia","2013",0.25,0.23
"448","Russia","2012",0.26,0.22
"449","Russia","2011",0.26,0.24
"450","Russia","2010",0.27,0.16
"451","Russia","2009",0.28,0.17
"452","Rwanda","2014",0.73,0.19
"453","Rwanda","2013",0.78,0.18
"454","Rwanda","2012",0.77,0.16
"455","Rwanda","2009",0.71,0.19
"456","Saudi Arabia","2009",0.48,0.3
"457","Senegal","2014",0.73,0.23
"458","Senegal","2013",0.79,0.19
"459","Senegal","2012",0.72,0.27
"460","Senegal","2011",0.83,0.17
"461","Senegal","2010",0.59,0.41
"462","Senegal","2009",0.71,0.22
"463","Serbia","2014",0.38,0.23
"464","Serbia","2013",0.41,0.24
"465","Serbia","2012",0.47,0.26
"466","Serbia","2011",0.49,0.25
"467","Serbia","2010",0.46,0.27
"468","Serbia","2009",0.55,0.25
"469","Sierra Leone","2014",0.48,0.16
"470","Sierra Leone","2013",0.53,0.1
"471","Sierra Leone","2011",0.75,0.19
"472","Sierra Leone","2010",0.79,0.19
"473","Singapore","2014",0.42,0.25
"474","Singapore","2011",0.71,0.15
"475","Singapore","2010",0.55,0.19
"476","Singapore","2009",0.73,0.06
"477","Slovakia","2014",0.21,0.41
"478","Slovakia","2013",0.19,0.46
"479","Slovakia","2012",0.16,0.38
"480","Slovakia","2011",0.17,0.42
"481","Slovakia","2010",0.15,0.33
"482","Slovenia","2014",0.19,0.58
"483","Slovenia","2013",0.15,0.67
"484","Slovenia","2012",0.16,0.61
"485","Slovenia","2011",0.19,0.54
"486","Slovenia","2010",0.17,0.5
"487","Slovenia","2009",0.15,0.56
"488","Somalia","2014",0.23,0.27
"489","South Africa","2014",0.48,0.37
"490","South Africa","2013",0.49,0.48
"491","South Africa","2012",0.44,0.41
"492","South Africa","2011",0.49,0.42
"493","South Africa","2010",0.47,0.52
"494","South Africa","2009",0.46,0.46
"495","South Sudan","2014",0.34,0.1
"496","Sri Lanka","2014",0.23,0.06
"497","Sri Lanka","2013",0.24,0.06
"498","Sri Lanka","2012",0.33,0.12
"499","Sri Lanka","2011",0.31,0.1
"500","Sri Lanka","2010",0.34,0.07
"501","Sri Lanka","2009",0.36,0.07
"502","Sudan","2014",0.16,0.09
"503","Suriname","2012",0.29,0.08
"504","Syria","2013",0.2,0.5
"505","Syria","2012",0.2,0.45
"506","Syria","2011",0.43,0.46
"507","Syria","2010",0.41,0.44
"508","Tajikistan","2014",0.61,0.18
"509","Tajikistan","2013",0.72,0.18
"510","Tajikistan","2012",0.76,0.12
"511","Tajikistan","2011",0.72,0.17
"512","Tajikistan","2010",0.71,0.07
"513","Tajikistan","2009",0.66,0.13
"514","Tanzania","2014",0.5,0.2
"515","Tanzania","2013",0.62,0.32
"516","Tanzania","2012",0.55,0.42
"517","Tanzania","2011",0.68,0.29
"518","Tanzania","2010",0.77,0.23
"519","Tanzania","2009",0.64,0.36
"520","Thailand","2014",0.34,0.24
"521","Thailand","2013",0.38,0.09
"522","Thailand","2012",0.48,0.22
"523","Thailand","2011",0.31,0.13
"524","Thailand","2010",0.31,0.16
"525","Thailand","2009",0.35,0.11
"526","Togo","2014",0.72,0.13
"527","Togo","2011",0.73,0.09
"528","Trinidad and Tobago","2013",0.2,0.12
"529","Trinidad and Tobago","2011",0.1,0.12
"530","Tunisia","2014",0.33,0.44
"531","Tunisia","2013",0.31,0.4
"532","Tunisia","2012",0.29,0.37
"533","Tunisia","2011",0.28,0.49
"534","Tunisia","2010",0.42,0.45
"535","Tunisia","2009",0.26,0.47
"536","Turkey","2014",0.29,0.37
"537","Turkey","2013",0.31,0.3
"538","Turkey","2012",0.25,0.46
"539","Turkey","2011",0.23,0.6
"540","Turkey","2010",0.25,0.41
"541","Turkey","2009",0.18,0.5
"542","Turkmenistan","2013",0.51,0.2
"543","Turkmenistan","2012",0.4,0.2
"544","Turkmenistan","2011",0.53,0.28
"545","Turkmenistan","2009",0.39,0.29
"546","Uganda","2014",0.37,0.11
"547","Uganda","2013",0.48,0.21
"548","Uganda","2012",0.61,0.17
"549","Uganda","2011",0.7,0.26
"550","Uganda","2010",0.66,0.33
"551","Uganda","2009",0.46,0.44
"552","Ukraine","2014",0.19,0.38
"553","Ukraine","2013",0.28,0.21
"554","Ukraine","2012",0.31,0.21
"555","Ukraine","2011",0.33,0.2
"556","Ukraine","2010",0.24,0.19
"557","Ukraine","2009",0.23,0.11
"558","United Arab Emirates","2010",0.52,0.15
"559","United Arab Emirates","2009",0.44,0.24
"560","Uruguay","2014",0.13,0.24
"561","Uruguay","2013",0.14,0.24
"562","Uruguay","2012",0.18,0.22
"563","Uruguay","2011",0.16,0.18
"564","Uzbekistan","2014",0.39,0.14
"565","Uzbekistan","2013",0.45,0.16
"566","Uzbekistan","2012",0.46,0.16
"567","Uzbekistan","2011",0.47,0.15
"568","Uzbekistan","2010",0.45,0.19
"569","Uzbekistan","2009",0.46,0.16
"570","Venezuela","2014",0.25,0.37
"571","Venezuela","2013",0.32,0.32
"572","Venezuela","2012",0.37,0.28
"573","Venezuela","2011",0.36,0.3
"574","Venezuela","2010",0.39,0.19
"575","Venezuela","2009",0.38,0.27
"576","Vietnam","2013",0.05,0.41
"577","Vietnam","2012",0.19,0.2
"578","Vietnam","2011",0.22,0.13
"579","Vietnam","2010",0.31,0.11
"580","Vietnam","2009",0.15,0.17
"581","Yemen","2014",0.26,0.34
"582","Yemen","2013",0.17,0.52
"583","Yemen","2012",0.27,0.44
"584","Yemen","2011",0.26,0.46
"585","Yemen","2010",0.3,0.51
"586","Yemen","2009",0.43,0.35
"587","Zambia","2014",0.6,0.25
"588","Zambia","2013",0.55,0.31
"589","Zambia","2012",0.55,0.35
"590","Zambia","2011",0.62,0.31
"591","Zambia","2009",0.66,0.31
"592","Zimbabwe","2013",0.51,0.23
"593","Zimbabwe","2012",0.52,0.26
"594","Zimbabwe","2011",0.5,0.45
"595","Zimbabwe","2010",0.57,0.37
"596","Zimbabwe","2009",0.47,0.41
